country,longitude (degrees),latitude (degrees),longitude (radians),latitude (radians),x_radian_ecef,y_radian_ecef,z_radian_ecef,long_coverted,hyp,lat_convert
Afghanistan,66.00473115,33.83523216,1.15199988,0.5905362044,0.337789974,0.7588573373,0.5568064969,1.15199988,0.8306422364,0.5905362044
Aland,19.95324636,60.21490035,0.3482498454,1.05094827,0.4669291686,0.1695169555,0.8678946672,0.3482498454,0.496748273,1.05094827
Albania,20.04983034,41.14245128,0.3499355539,0.7180712372,0.7074358043,0.2581825617,0.6579333914,0.3499355539,0.7530761266,0.7180712372
Algeria,2.61732102,28.15893844,0.04568086938,0.4914661896,0.8807221641,0.04026016222,0.4719190492,0.04568086938,0.8816418837,0.4914661896
American Samoa,-170.7180186,-14.30448922,-2.979591517,-0.2496604347,-0.9563088113,-0.156292781,-0.247074936,-2.979591517,0.9689963756,-0.2496604347
Andorra,1.56053368,42.54229174,0.0272364508,0.7425030622,0.7365051994,0.02006474938,0.6761342301,0.0272364508,0.7367784625,0.7425030622
Angola,17.53736149,-12.29336112,0.3060847001,-0.2145596277,0.9316566747,0.2944182694,-0.2129171743,0.3060847001,0.9770702518,-0.2145596277
Anguilla,-63.06498464,18.22396692,-1.100691625,0.3180682255,0.4302587708,-0.8468033538,0.3127322661,-1.100691625,0.9498413182,0.3180682255
Antarctica,19.92113271,-80.50856414,0.3476893565,-1.40513952,0.15503297,0.05618583507,-0.9863102606,0.3476893565,0.1649001815,-1.40513952
Antigua and Barbuda,-61.7946956,17.27754256,-1.078520898,0.3015500043,0.4513058979,-0.8414948688,0.2970006268,-1.078520898,0.9548772841,0.3015500043
Argentina,-65.17980881,-35.38135347,-1.13760227,-0.6175211119,0.3422469108,-0.7400051902,-0.5790158638,-1.13760227,0.8153162758,-0.6175211119
Armenia,44.9299343,40.28952206,0.7841752862,0.703184814,0.540030758,0.538711588,0.6466502961,0.7841752862,0.7627865983,0.703184814
Aruba,-69.98267466,12.52088881,-1.221428092,0.218530735,0.3341632646,-0.9172429384,0.2167955361,-1.221428092,0.976217033,0.218530735
Ashmore and Cartier Islands,123.5838304,-12.42994255,2.156944743,-0.2169434233,-0.5401904372,0.8135499855,-0.2152457029,2.156944743,0.9765599251,-0.2169434233
Australia,134.4909988,-25.73288736,2.347310743,-0.4491236105,-0.6312977123,0.6426151292,-0.4341762248,2.347310743,0.9008279557,-0.4491236105
Austria,14.12647809,47.58549847,0.2465535544,0.8305236245,0.6540922612,0.1646180043,0.7382846514,0.2465535544,0.6744892686,0.8305236245
Azerbaijan,47.54599646,40.28827674,0.8298341844,0.7031630791,0.5148890001,0.5628091629,0.6466337168,0.8298341844,0.7628006531,0.7031630791
Bahrain,50.54197759,26.04200845,0.8821239194,0.4545187913,0.570990638,0.69370191,0.4390300119,0.8821239194,0.8984723973,0.4545187913
Bangladesh,90.23812793,23.86730412,1.574952443,0.4165630405,-0.003800695185,0.9144771026,0.4046198011,1.574952443,0.9144850007,0.4165630405
Barbados,-59.55980198,13.18145371,-1.039514646,0.2300597674,0.4932902392,-0.8394429414,0.2280357167,-1.039514646,0.9736527676,0.2300597674
Belarus,28.03208711,53.53131155,0.4892522163,0.9342976395,0.5246530357,0.279339966,0.8041818051,0.4892522163,0.5943833985,0.9342976395
Belgium,4.64064572,50.63981435,0.08099454723,0.883831493,0.6321143396,0.05131006384,0.7731744557,0.08099454723,0.634193394,0.883831493
Belize,-88.71010228,17.20027475,-1.548283365,0.3002014266,0.02150429714,-0.9550348712,0.2957126309,-1.548283365,0.9552769441,0.3002014266
Benin,2.32784527,9.6417533,0.04062856444,0.1682803408,0.9850606758,0.04004363665,0.1674872298,0.04062856444,0.9858742455,0.1682803408
Bermuda,-64.75454185,32.31368594,-1.130179961,0.5639802131,0.3604472243,-0.7644145249,0.5345542374,-1.130179961,0.8451341712,0.5639802131
Bhutan,90.401895,27.4110619,1.577810718,0.4784132816,-0.006226809844,0.8877046807,0.4603711837,1.577810718,0.8877265194,0.4784132816
Bolivia,-64.6853892,-16.70814536,-1.128973019,-0.2916121484,0.4095363126,-0.8658092545,-0.2874966842,-1.128973019,0.957781633,-0.2916121484
Bosnia and Herzegovina,17.76876588,44.17449912,0.3101234686,0.7709904551,0.683006451,0.218878739,0.6968459553,0.3101234686,0.7172208269,0.7709904551
Botswana,23.7985373,-22.18402031,0.415362833,-0.3871841957,0.8472401666,0.3736516012,-0.3775825485,0.415362833,0.9259759279,-0.3871841957
Brazil,-53.09783199,-10.78777567,-0.9267319939,-0.1882822044,0.589838847,-0.7855296788,-0.1871717346,-0.9267319939,0.9823272071,-0.1882822044
British Indian Ocean Territory,72.44540239,-7.33058251,1.2644108,-0.1279428009,0.2991492151,0.9456370925,-0.1275940295,1.2644108,0.9918264786,-0.1279428009
British Virgin Islands,-64.47140241,18.52593375,-1.125238245,0.3233385409,0.408629089,-0.8556094085,0.317733863,-1.125238245,0.9481799367,0.3233385409
Brunei Darussalam,114.7220255,4.51968241,2.00227707,0.0788833392,-0.4169157715,0.9055228072,0.07880155498,2.00227707,0.9968903224,0.0788833392
Bulgaria,25.21552327,42.76889988,0.4400939037,0.7464581204,0.6641475253,0.3127439139,0.679042936,0.4400939037,0.7340985568,0.7464581204
Burkina Faso,-1.7545684,12.26953681,-0.03062299553,0.214143815,0.9767005628,-0.02991884987,0.2125108777,-0.03062299553,0.977158701,0.214143815
Burundi,29.8751201,-3.35939257,0.5214192102,-0.05863246121,0.8656230897,0.4972553053,-0.05859887288,0.5214192102,0.9982816096,-0.05863246121
Cambodia,104.9069431,12.72004932,1.830971565,0.2220067417,-0.250936355,0.9426284452,0.2201875564,1.830971565,0.9754575542,0.2220067417
Cameroon,12.73964266,5.69110296,0.2223487099,0.09932848472,0.9705745222,0.2194341662,0.09916523369,0.2223487099,0.9950709806,0.09932848472
Canada,-98.30775723,61.36206827,-1.715794044,1.070970127,-0.06925023866,-0.4742436292,0.877665873,-1.715794044,0.4792730072,1.070970127
Cape Verde,-23.95990969,15.95518822,-0.4181793126,0.2784705672,0.8786263474,-0.3904532337,0.2748854562,-0.4181793126,0.9614769815,0.2784705672
Cayman Islands,-80.91213058,19.42896455,-1.412183083,0.3390994017,0.1489545437,-0.9312167107,0.3326379137,-1.412183083,0.9430546211,0.3390994017
Central African Republic,20.46826364,6.56823003,0.3572385927,0.1146372401,0.9307167609,0.3473932662,0.114386317,0.3572385927,0.9934363445,0.1146372401
Chad,18.64493211,15.33333336,0.3254154541,0.2676171524,0.9137898899,0.3083222517,0.2644341625,0.3254154541,0.96440374,0.2676171524
Chile,-71.38255879,-37.73069754,-1.245860679,-0.6585249011,0.2524917388,-0.7495092102,-0.6119508687,-1.245860679,0.7908957797,-0.6585249011
China,103.8190739,36.56176801,1.811984666,0.6381232321,-0.1918533481,0.7799659332,0.595689043,1.811984666,0.8032151419,0.6381232321
Colombia,-73.08114936,3.91383156,-1.275506677,0.06830924709,0.2903382741,-0.9544866613,0.06825613591,-1.275506677,0.9976678304,0.06830924709
Comoros,43.68238096,-11.87777573,0.7624013729,-0.2073062943,0.7076954918,0.6758722638,-0.2058246193,0.7624013729,0.9785888953,-0.2073062943
Cook Islands,-159.7872415,-21.21926813,-2.788813467,-0.3703460937,-0.8747935024,-0.3220825241,-0.361938083,-2.788813467,0.9322021369,-0.3703460937
Costa Rica,-84.19208786,9.9763424,-1.469429137,0.1741200222,0.09966356984,-0.9798237312,0.1732415328,-1.469429137,0.9848793689,0.1741200222
Cote d'Ivoire,-5.56921598,7.62842868,-0.09720115561,0.1331411972,0.9864712577,-0.09618927135,0.1327481894,-0.09720115561,0.9911497961,0.1331411972
Croatia,16.40413079,45.08047284,0.2863060932,0.7868026794,0.677369637,0.1994137926,0.7080992262,0.2863060932,0.7061129413,0.7868026794
Cuba,-79.01606913,21.62290023,-1.379090568,0.3773908028,0.1771256887,-0.9125990822,0.3684961404,-1.379090568,0.929629278,0.3773908028
Curacao,-68.9712225,12.19552443,-1.203774922,0.2128520553,0.3507387204,-0.9123357079,0.2112484465,-1.203774922,0.9774323986,0.2128520553
Cyprus,33.00600358,34.91666932,0.5760634354,0.6094108435,0.6876508088,0.4466681044,0.5723844597,0.5760634354,0.8199853842,0.6094108435
Czech Republic,15.31240065,49.73341073,0.2672518077,0.8680117655,0.623399876,0.1706879376,0.7630453607,0.2672518077,0.6463449369,0.8680117655
Congo,23.64395637,-2.87746013,0.4126648869,-0.05022115336,0.9149003406,0.4005462798,-0.05020004503,0.4126648869,0.9987391829,-0.05022115336
Denmark,10.02799418,55.98126391,0.1750215158,0.9770573747,0.550916927,0.09741908405,0.8288546685,0.1750215158,0.5594639742,0.9770573747
Djibouti,42.56067681,11.74872052,0.7428239422,0.205053856,0.7211305185,0.6622006618,0.2036198879,0.7428239422,0.9790500198,0.205053856
Dominica,-61.35773122,15.43947211,-1.070894431,0.2694696231,0.4620411495,-0.8459578958,0.2662202374,-1.070894431,0.963912229,0.2694696231
Dominican Republic,-70.50569086,18.8943308,-1.230556447,0.3297682824,0.3157318955,-0.8918808852,0.3238238051,-1.230556447,0.9461174046,0.3297682824
East Timor,125.8443864,-8.8288854,2.196398888,-0.1540931195,-0.5786472905,0.8010055971,-0.1534840276,2.196398888,0.9881511288,-0.1540931195
Ecuador,-78.75203573,-1.42381949,-1.374482316,-0.02485033805,0.1949952503,-0.9804893881,-0.02484778046,-1.374482316,0.9996912462,-0.02485033805
Egypt,29.8618993,26.49593108,0.5211884637,0.4624412357,0.7761396531,0.4456135809,0.4461342573,0.5211884637,0.8949660466,0.4624412357
El Salvador,-88.87164456,13.73944008,-1.551102809,0.2397984668,0.01912876797,-0.9711974977,0.2375068647,-1.551102809,0.9713858601,0.2397984668
Equatorial Guinea,10.34138898,1.70554042,0.1804912869,0.02976729585,0.9833198024,0.1794333748,0.02976289996,0.1804912869,0.9995569868,0.02976729585
