year,oil_longitude,oil_latitude,oil_total,gas_longitude,gas_latitude,gas_total,coal_longitude,coal_latitude,coal_total,nuclear_longitude,nuclear_latitude,nuclear_total,hydro_longitude,hydro_latitude,hydro_total,biodiesel_longitude,biodiesel_latitude,biodiesel_total,fuel_ethanol_longitude,fuel_ethanol_latitude,fuel_ethanol_total,wind_longitude,wind_latitude,wind_total,solar_tidal_wave_longitude,solar_tidal_wave_latitude,solar_tidal_wave_total,geothermal_longitude,geothermal_latitude,geothermal_total,biomass_waste_longitude,biomass_waste_latitude,biomass_waste_total,oil_delta,gas_delta,coal_delta,nuclear_delta,hydro_delta,biodiesel_delta,fuel_ethanol_delta,wind_delta,solar_tidal_wave_delta,geothermal_delta,biomass_delta
1900,5.364704912,53.19681325,801680168,-112.4616706,45.67955203,279208955.3,-31.34418597,47.41571518,18254577320,,,,-105.9504759,45.25386773,10939326.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,7.989324222,52.70375625,896840500.8,-112.4616706,45.67955203,306463914.3,-33.9042959,47.73741063,18584554878,,,,-104.9350306,45.50530983,12420195.79,,,,,,,,,,,,,,,,,,,114.4248568,0,121.3577805,,52.2459721,,,,,,
1902,-7.406612146,52.18757105,973786241.2,-112.4616706,45.67955203,333718873.4,-34.82506533,47.65341933,19034373438,,,,-103.6233683,45.47494477,14423122.98,,,,,,,,,,,,,,,,,,,648.0230816,0,43.20528252,,63.55751716,,,,,,
1903,-13.65595451,50.43866637,1040850863,-112.4616706,45.67955203,360973832.4,-37.99186462,47.47209985,20770595194,,,,-103.4395038,45.47068829,16484056.57,,,,,,,,,,,,,,,,,,,295.5408558,0,148.1447828,,8.912115161,,,,,,
1904,-18.12717329,49.90737412,1168789525,-112.4616706,45.67955203,388228791.4,-36.61823537,47.5086025,20876307875,,,,-102.7548383,44.82571694,18824785.77,,,,,,,,,,,,,,,,,,,201.1770593,0,64.17083457,,55.66046525,,,,,,
1905,-37.49489892,47.72275614,1149543169,-112.4616706,45.67955203,415483750.4,-38.13539394,46.73386546,22506493747,,,,-100.6613178,44.62209903,21332709.93,,,,,,,,,,,,,,,,,,,891.2792112,0,89.1649038,,103.7143393,,,,,,
1906,-30.85549749,47.9139207,1144939917,-112.4616706,45.67955203,442738709.4,-37.24862673,47.20200421,23767190673,,,,-97.43769532,44.36520129,24311509.63,,,,,,,,,,,,,,,,,,,308.1796901,0,52.85376981,,159.8353732,,,,,,
1907,-39.2619857,47.33077923,1415698445,-112.4616706,45.67955203,469993668.4,-39.46101601,47.12765288,26290591658,,,,-96.24257716,44.12394961,27716827.05,,,,,,,,,,,,,,,,,,,393.3033361,0,104.0379071,,61.44826174,,,,,,
1908,-41.36155555,46.94823255,1530462283,-112.4616706,45.67955203,497248627.4,-34.17484816,47.04143808,24985651444,,,,-95.97858689,43.82969852,31367818.67,,,,,,,,,,,,,,,,,,,102.136973,0,248.6868955,,24.19634137,,,,,,
1909,-38.45003009,46.91095947,1608201687,-112.1138889,46.06489367,537716031.1,-37.34313486,47.11198525,26108142404,,,,-95.2280218,43.42097914,34875500.35,,,,,,,,,,,,,,,,,,,137.3731722,31.44042882,149.1285427,,46.96821178,,,,,,
1910,-44.08140511,46.89074674,1749196126,-112.1237696,46.0539459,566297249.1,-39.14113579,46.38137627,27509071108,,,,-94.08708536,43.52536871,38601559.08,,,,,,,,,,,,,,,,,,,265.7603174,0.8923905468,98.94995206,,57.6517695,,,,,,
1911,-48.55964153,45.74511714,1852808982,-112.1327008,46.04405011,594878467.1,-36.90146248,46.36157804,27999052596,,,,-94.32498284,45.25968655,41000294.7,,,,,,,,,,,,,,,,,,,227.8159086,0.8066827643,106.7621724,,120.3869566,,,,,,
1912,-49.42967873,45.60680219,1882650754,-112.1408132,46.03506162,623459685.1,-38.27557042,46.30581825,29381750938,,,,-91.89159449,43.56551456,46664449.92,,,,,,,,,,,,,,,,,,,43.06960164,0.7327566593,65.65622102,,167.6688653,,,,,,
1913,-54.48755561,44.85823786,2075709561,-112.1482143,46.02686112,652040903.1,-37.96719379,46.39254901,31482149854,,,,-73.62799464,43.05602806,55512133.36,,,,,,,,,,,,,,,,,,,251.3989552,0.6685474485,15.8789777,,916.9066158,,,,,,
1914,-56.34503626,44.95326412,2138012197,-112.1549939,46.01934935,680622121,-37.2416062,46.17561902,28255885686,,,,-70.30435262,42.97527501,61285477.12,,,,,,,,,,,,,,,,,,,91.12089284,0.6124236293,37.74388387,,167.9644412,,,,,,
1915,-58.64367514,44.26296949,2294879919,-112.1612271,46.01244304,709203339,-39.87115978,46.07326652,27809211274,,,,-67.46497984,42.93797017,68273543.32,,,,,,,,,,,,,,,,,,,122.6931894,0.5630824341,126.0994793,,143.5756074,,,,,,
